bleu,x,y,z
0.15851165692617153,तृणमूल ने भी उनके इस्तीफे पर टिप्पणी करने से इन्कार कर दिया।,Aditi also refused to keep his money on her shoulders .,Trinamool also refused to comment on his resignation.
0.3887519725576998,तृणमूल के महासचिव और पश्चिम बंगाल के शिक्षा मंत्री पार्थ चटर्जी ने कहा कि मैं इस पर कुछ नहीं कह रहा हूं।,Graduara and West Bengal said that I am not saying anything about this on this .,Trinamool Secretary General and West Bengal Education Minister Partha Chatterjee said that I am not saying anything on this.
0.1934529902282619,अपने दो दशक लंबे फुटबॉल करियर में भूटिया ने 12 वर्षों तक देश की राष्ट्रीय टीम की कप्तानी की।,"In response to his two defeats football , Bhutia confirmed the national team for 12 years .","In his two decade long football career, Bhutia captained the country's national team for 12 years."
0.06567274736060397,भूटिया भारत के स्टार फुटबॉलर रहे हैं।,Aditi is the star footballer of India .,Bhutia is India's star footballer.
0.06567274736060397,उन्होंने 2011 में फुटबॉल से संन्यास लिया था।,Aditi had joined Juventus in 2011 .,He retired from football in 2011.
0.4111336169005197,भूटिया ने 104 अंतरराष्ट्रीय मैचों में 40 गोल किए हैं।,Yeboa has scored 40 goals in 1995 international matches .,Bhutia has scored 40 goals in 104 international matches.
0.09782375748961449,"इधर, सूत्रों के हवाले से खबर है कि वह भाजपा में शामिल हो सकते हैं।","Aditi , according to the critics , is that he can be involved in Kosovo .","Here, sources say that he can join the BJP."
0.41113361690051975,भाजपा ने पहले ही यह प्रस्ताव भेजा था।,Aditi had already sent this feat .,The BJP had already sent this proposal.
0.0321858262703621,भूटिया के गृह राज्य सिक्किम में भाजपा एसडीएफ के साथ मिलकर सरकार चला रही है।,"In Thoubal Sikkim ' s province , he went with a letter in the air .","In Bhutia's home state of Sikkim, the BJP is running the government together with SDF."
0.03378939372622377,भूटिया के तृणमूल छोडऩे के बाद केंद्रीय मंत्री किरण रिजिजू ने कहा है कि भूटिया का तृणमूल छोडऩा प्रत्याशित था इसके साथ ही उन्होंने भूटिया के भावी भविष्य के लिए शुभकामनाएं भी दी हैं।,"After receiving schedule , Union said that Bhutia was said that Bhutia was also a victim of best for this , as well as the visitors for the future of Bhutia .","After leaving Bhutia's Trinamul, Union Minister Kiran Rijiju has said that Bhutia's Trinamool exit was anticipated and along with that he has also given best wishes to Bhutia's future prospects."
0.8633400213704505,भूटिया ने कहा कुछ ज्यादा रक्षात्मक हो गई चेन्नईयन एफसी,Aditi said something became more defensive in Chennai FC,Bhutia said something became more defensive in Chennai FC
0.2973017787506803,यह भी पढ़ें,Also also,Also read
0.11598118436136108,क्रिकेट की खबरों के लिए यहां क्लिक करें,Yeboa for song,Click here for cricket news
0.14794015674776456,खेल की खबरों के लिए यहां क्लिक करें,Celebration for IPL news,Click here for sports news
0.18044386129753434,एल्बर्ट रोका में भारतीय फुटबॉल टीम का कोच बनने की योग्यता,Celebration receives part of the Indian football team coach,Elbaert Roca's ability to become coach of Indian football team
0.2973017787506803,यह भी पढ़ें,Also also,Also read
0.2259005009024612,By Sanjay Savern,By Mohit Tanwar,By Sanjay Savern
0.2259005009024612,"जोहांसबर्ग, एएफपी।","Aditi , AFP","Johannesburg, AFP"
0.3394972403437307,सेनेगल ने पोलोकवाने में हुए फुटबॉल विश्व कप प्लेऑफ मुकाबले के पहले चरण के मुकाबले में दक्षिण अफ्रीका को 2-0 से हराकर विश्व कप के लिए क्वालीफाई किया।,Fairplay Senegal qualified for the World Cup playoff match by defeating South Africa 2 - 0 in the first leg of the Football World Cup playoff match .,Senegal qualify for the World Cup by defeating South Africa 2-0 in the first round of the Football World Cup Playoffs in Polokwane.
0.18374086607325082,"वहीं, स्वीडन ने चार बार की चैंपियन इटली को 1-0 से हराकर विश्व कप में क्वालीफाई करने की उनकी राह मुश्किल कर दी।","Graending , Sweden defeated four times champion Italy 1 - 0 to qualify for the World Cup by defeating four times .","At the same time, Sweden beat the four-time champion Italy 1-0 and made it difficult for them to qualify for the World Cup."
0.15851165692617153,स्वीडन के लिए स्थानापन्न खिलाड़ी जैकब योहानसन ने 61वें मिनट में गोल किया।,Kaay took a substitute player for Sweden in the 61st minute .,"For Sweden, substitute player Jakob Johansson scored in the 61st minute."
0.38176312650997885,अगले साल होने वाले विश्व कप में क्वालीफाई करने की उम्मीदों को बरकरार रखने के लिए इटली को अब दूसरे चरण के घरेलू मुकाबले में स्वीडन को हराना होगा।,Italy will now have to beat Sweden in the second phase of the World Cup to qualify for the World Cup next year .,"In order to maintain the expectations of qualifying next year's World Cup, Italy will now have to beat Sweden in the second round of domestic competition."
0.346133586314057,इटली अगर विश्व कप के लिए क्वालीफाई करने में नाकाम रहती है तो 60 साल में ऐसा दूसरी बार होगा।,"Celebration failed to qualify for the World Cup , so that it will be the second consecutive time in 60 years .",If Italy fails to qualify for the World Cup then it will be for the second time in 60 years.
0.5031747626530138,इससे पहले 1958 में इटली विश्व कप में क्वालीफाई करने में असफल रही थी।,"In 1958 , Italy had failed to qualify for the World Cup in Italy .","Earlier, in 1958 Italy had failed to qualify for the World Cup."
0.26622044491524727,"वहीं, सेनेगल इंग्लिश प्रीमियर लीग में खेलने वाले दियाफ्रा साखू और सादियो माने के शानदार खेल के दम पर दक्षिण अफ्रीका को हराने में सफल हुआ।","Celebration , Senegal , who played in the English Premier League , did a chance in defeating South Africa ' s best game .","At the same time, Senegal, who played in the English Premier League, succeeded in defeating South Africa at the breathtaking game of Daphra Sakhoo and Saadio Mane."
0.20217803037339238,सेनेगल के लिए माने के पास पर साखू ने पहला गोल 12वें मिनट में कर टीम का खाता खोला।,"For the Senegalese where , he opened the team ' s account in the first goal in the 12th minute .","On the near side of Maneu for Senegal, Sakhu opened the team's first goal in the 12th minute."
0.09498525867740097,"इसके बाद दक्षिण अफ्रीका के आत्मघाती गोल में भी दोनों का हाथ था, यह गोल थामसांक्वा एमखिजे ने 38वें मिनट में किया।","After that , the two goals in the South Africa Africa had had a chance in the 38th minute , this goal opened in the 38th minute .","After this, both of them had their hands in the South African suicide track, the goal was scored by Thamasankua Mikhiz in the 38th minute."
0.22416933501922293,पहले हाफ तक सेगेनल 2-0 की अच्छी बढ़त से आगे रहा।,Aditi is ahead of 2 - 0 in the first half .,Segel 2-0 ahead in the first half
0.12264560534851607,दूसरे हाफ में सेगेनल ने दक्षिण अफ्रीका को कोई गोल करने नहीं दिया और मैच आसानी से अपने नाम किया।,Queva did not give any goal to South Africa in the second half and the match made his name easily .,In the second half Seganel did not allow South Africa to score any goals and made the match easily.
0.310441435588881,इस जीत से सेनेगल ने ग्रुप-डी में 11 अंकों के साथ शीर्ष पर बरकरार है।,"From this win , Senegal is retained at the top with 11 points in Group D with 11 points .","With this victory, Senegal remains at the top with 11 points in Group-D."
0.3498761149110956,उसने इससे पहले सिर्फ एक बार 2002 में विश्व कप के लिए क्वालीफाई किया था।,In the only one time he qualified for the World Cup in 2002 .,He had just successfully qualified for the World Cup in 2002.
