bleu,x,y,z
0.08039313477786734,"Parthiv Patel, playing his first IPL match for Bangalore, scored a brilliant half-century to score 53 runs.",बैंगलोर की तरफ से पार्थिव पटेल ने भी अच्छी बल्लेबाजी की और 40 गेंदों पर 40 रन बनाकर नाबाद रहे ।,बैंगलोर के लिए मौजूदा आइपीएल का पहला मैच खेल रहे पार्थिव पटेल ने शानदार अर्धशतक जमाते हुए 53 रन बनाए।
0.16064553745630614,In this innings Patel's bat yielded five boundaries and two sixes.,इस पारी में फनके बल्ले से 4 चौके और दो छक्के भी निकले ।,इस पारी में पटेल के बल्ले से पांच चौके और 2 छक्के निकले।
1.0,Click here for IPL news,IPL की खबरों के लिए यहां क्लिक करें,IPL की खबरों के लिए यहां क्लिक करें
1.0,Click here to view full schedule of IPL,आइपीएल का पूरा शेड्यूल देखने के लिए यहां क्लिक करें,आइपीएल का पूरा शेड्यूल देखने के लिए यहां क्लिक करें
0.08116697886877472,Giant returned in cheap,खराब फॉर्म में चल रहे धवन,सस्ते में लौटे दिग्गज
0.022920842316175777,"Any legendary batting batsman from Bangalore, who was battered with a bat, could not make a big score.","कोलकाता को माही से मिलेगी महाचुनौती , धौनी से पार पाकर जीतना चाहेगी KKR",धुरंधर बल्लेबाज़ी से सजी बैंगलोर की टीम का कोई भी दिग्गज बल्लेबाज़ बड़ा स्कोर नहीं बना सका।
0.04891187874480726,"McCullum scored 05 runs, Virat Kohli scored 08 and De Villiers scored 1.",मैकुलम ने तीसरे ओवर की तीसरी गेंद पर विराट कोहली को क्लीन बोल्ड कर दिया ।,"मैक्कुलम 05 रन, विराट कोहली 08 रन और डिविलियर्स 01 रन बनाकर आउट हो गए।"
1.0,Click here for cricket news,क्रिकेट की खबरों के लिए यहां क्लिक करें,क्रिकेट की खबरों के लिए यहां क्लिक करें
1.0,Click here for news of other sports,अन्य खेलों की खबरों के लिए यहां क्लिक करें,अन्य खेलों की खबरों के लिए यहां क्लिक करें
0.10682175159905853,"New Delhi, JNN","नई दिल्ली , जेएनएन ।","नई दिल्ली, जेएनएन।"
0.3411488281065382,IPL's 26th match was played on the Feroz Shah Kotla ground between Delhi Daredevils and Kolkata Knight Riders.,आइपीएल का 26वां मैच फिरोजशाह कोटला मैदान पर दिल्ली डेयरडेविल्स और कोलकाता नाइट राइडर्स के बीच खेला गया ।,आइपीएल का 26वां मुकाबला दिल्ली डेयरडेविल्स और कोलकाता नाइटराइडर्स के बीच फिरोजशाह कोटला मैदान पर खेला गया।
0.030272532566104682,"In the lead of the new Naval captain, Delhi defeated the series of bars, winning the break.","नए कप्तान के सामने नहीं टिक पाए केकेआर के पुराने कप्तान , दिल्ली को 71 रन से मिली हार",नए नवेले कप्तान की अगुवाई में दिल्ली ने बार के सिलसिले को तोड़ को हुए जीत दर्ज की।
0.15727800941615355,Delhi's team beat Kolkata by 55 runs,दिल्ली की टीम को पंजाब ने नौ विकेट से मात दी थी ।,दिल्ली की टीम ने कोलकाता को 55 रन से मात दी।
0.14382644562327251,But the victory of the Delhi team became a little bit faint because of one of his bowlers.,लेकिन दिल्ली की टीम का कोई भी बल्लेबाज उनकी गेंदों को नहीं पढ़ रहा है ।,लेकिन दिल्ली की टीम की ये जीत उसके एक गेंदबाज़ की वजह से थोड़ी फीकी हो गई।
0.0,Rave,मो .,आवेश और मावी को पड़ी फटकार
