bleu,x,y,z
0.12940429245092583,"The impact of change in the Test match was that India got the first match of the series to play on that pitch , which is called best for batting in Australia .","टेस्ट मैच में बदलाव के प्रभाव का प्रभाव यह लग रहा था कि भारत सीरीज का पहला मैच खेल गया , जिस पर बल्लेबाजी के लिए ऑस्ट्रेलिया के लिए सर्वश्रेष्ठ रहा ।","टेस्ट मैच के कार्यक्रम में परिवर्तन का असर यह हुआ कि भारत को सीरीज का पहला मैच उस पिच पर खेलने को मिला , जिसे ऑस्ट्रेलिया में बल्लेबाजी के लिए सबसे अच्छी कहा जाता है ।"
0.4919078786112518,It was clear on the first day that there is not much bounce in the pitch and the ball is coming well on the bat .,पहले दिन यह साफ हो गया था कि पिच में ज्यादा उछाल नहीं होती और गेंद अच्छे से बल्ले पर आ रही है ।,पहले दिन ही यह स्पष्ट हो गया था कि पिच में ज्यादा उछाल नहीं है और गेंद बल्ले पर अच्छी तरह आ रही है ।
0.07261813302549416,"Three batsmen scored centuries from Australia , the special thing is that the three batsmen were from New South Wales , from where Philip Hughes was also .","तीन बल्लेबाज शतक लगाने वाले ऑस्ट्रेलिया के साथ शतक बना चुके हैं , इसी बात से यह बात तो है कि तीनों के तीन बल्लेबाज भी न्यूजीलैंड के नाम थे ।","ऑस्ट्रेलिया की तरफ से तीन बल्लेबाजों ने शतक जड़े , खास बात यह है कि तीनों बल्लेबाज न्यू साउथ वेल्स से थे , जहां से फिलिप ह्यूज भी थे ।"
0.32468272701011225,"Indian batsmen had to face the dangerous trio of Johnson , Siddle and Harris .","भारतीय बल्लेबाजों को जॉनसन , कुलशेखरा और यूनिवर्सिटी का सामना करना पड़ा ।","भारतीय बल्लेबाजों को जॉनसन , सिडल और हैरिस की खतरनाक तिकड़ी का सामना करना था ।"
0.10682175159905853,Dhawan ' s reaction was offensive .,धवन का प्रतिक्रिया लाजवाब था ।,धवन की प्रतिक्रिया आक्रामक थी ।
0.2867615216926528,It seemed that he was trying to replicate the fastest century in his debut Test in Mohali against this opposition team .,ऐसा लग रहा था कि मोहाली के खिलाफ अपने पदार्पण टेस्ट में तेज शतक की शुरुआत करने की कोशिश कर रहे थे ।,ऐसा लगा कि वह इसी विपक्षी टीम के खिलाफ मोहाली में खेले अपने पदार्पण टेस्ट में लगाए गए सबसे तेज शतक को दोहराने की कोशिश कर रहे थे ।
0.12358587786770792,"The only difference was that the ball here was moving more than Mohali , and this was the reason behind his dismissal .",सिर्फ इतना ही यह रहा कि यहां गेंद मोहाली से ज्यादा उछली थी और उसके पीछे यह वजह थी ।,फर्क सिर्फ इतना था कि यहां गेंद मोहाली की तुलना में कुछ ज्यादा मूव कर रही थी और यही उनके आउट होने की वजह भी बनी ।
0.24246846637816938,Murali Vijay continued to impress and Pujara also managed to play a good innings .,मुरली विजय ने संयमित और पुजारा को भी अच्छी पारी खेलने में सफल रहे ।,मुरली विजय ने प्रभावित करना जारी रखा और पुजारा भी एक अच्छी पारी खेलने में कामयाब रहे ।
0.1551430494382811,"Like Kohli , Pujara ' s England tour was not less than a forgotten dream .",कोहली की तरह पुजारा का इंग्लैंड दौरे पर किसी तोहफे से कम नहीं था ।,कोहली की ही तरह पुजारा का भी इंग्लैंड दौरा किसी भुला देने वाले सपने से कम नहीं रहा था ।
0.38865452579821236,His innings became clear that during the intervening period he worked hard on his batting .,उनकी पारी स्पष्ट होती है कि सर्दी के दौरान उन्होंने अपनी बल्लेबाजी पर कड़ी मेहनत की ।,उनकी पारी से यह साफ हो गया कि बीच की अवधि में उन्होंने अपनी बल्लेबाजी पर कड़ी मेहनत की ।
