ay,bleu_ay,bleu_iy,iy,x,z,dblue
बैंगलोर के लिए अपना पहला आइपीएल मैच खेल रहे पार्थिव पटेल ने शानदार अर्धशतक जमाते हुए 53 रन की दमदार पारी खेली ।,0.5664439143400164,0.06667489966054595,बैंगलोर की तरफ से पार्थिव पटेल ने भी अच्छी बल्लेबाजी की और 40 रन बनाकर नाबाद रहे जबकि साउथी एक रन बनाकर नाबाद रहे ।,"Parthiv Patel, playing his first IPL match for Bangalore, scored a brilliant half-century to score 53 runs.",बैंगलोर के लिए मौजूदा आइपीएल का पहला मैच खेल रहे पार्थिव पटेल ने शानदार अर्धशतक जमाते हुए 53 रन बनाए।,0.49976901467947044
इस पारी में पटेल के बल्ले से पांच चौके और दो छक्के भी निकले ।,0.6413865258981679,0.1690062198556585,इस पारी में फनके बल्ले से 4 चौके और एक छक्का निकला ।,In this innings Patel's bat yielded five boundaries and two sixes.,इस पारी में पटेल के बल्ले से पांच चौके और 2 छक्के निकले।,0.4723803060425094
IPL की खबरों के लिए यहां क्लिक,0.8668778997501817,0.8668778997501817,IPL की खबरों के लिए यहां क्लिक,Click here for IPL news,IPL की खबरों के लिए यहां क्लिक करें,0.0
आइपीएल का पूरा शेड्यूल देखने के लिए यहां क्लिक,0.8948393168143697,0.8948393168143697,आइपीएल का पूरा शेड्यूल देखने के लिए यहां क्लिक,Click here to view full schedule of IPL,आइपीएल का पूरा शेड्यूल देखने के लिए यहां क्लिक करें,0.0
घर में लौटा,0.16186478197091597,0.0,खराब रही मुंबई की,Giant returned in cheap,सस्ते में लौटे दिग्गज,0.16186478197091597
बैंगलोर की तरफ से किसी भी दिग्गज बल्लेबाज बल्लेबाजी कर रहे बल्लेबाज को बड़ा स्कोर नहीं बना पाया ।,0.17636478563502966,0.02286956778061901,प्लेऑफ की उम्मीदों को जीवित रखने के लिए उसे जीत की राह पर वापसी करनी होगी ।,"Any legendary batting batsman from Bangalore, who was battered with a bat, could not make a big score.",धुरंधर बल्लेबाज़ी से सजी बैंगलोर की टीम का कोई भी दिग्गज बल्लेबाज़ बड़ा स्कोर नहीं बना सका।,0.15349521785441064
"मैकुलम ने 05 रन बनाए , विराट कोहली 08 रन बनाकर डिविलियर्स ने बनाए ।",0.2102369368326755,0.025540496664715903,मैकुलम ने 25 गेंदों पर 43 रन बनाए इस दौरान उन्होंने 4 चौके और 4 छक्के लगाए ।,"McCullum scored 05 runs, Virat Kohli scored 08 and De Villiers scored 1.","मैक्कुलम 05 रन, विराट कोहली 08 रन और डिविलियर्स 01 रन बनाकर आउट हो गए।",0.1846964401679596
क्रिकेट की खबरों के लिए यहां क्लिक,0.8668778997501817,0.8668778997501817,क्रिकेट की खबरों के लिए यहां क्लिक,Click here for cricket news,क्रिकेट की खबरों के लिए यहां क्लिक करें,0.0
अन्य खेलों की खबरों के लिए यहां क्लिक,0.8824969025845955,0.8824969025845955,अन्य खेलों की खबरों के लिए यहां क्लिक,Click here for news of other sports,अन्य खेलों की खबरों के लिए यहां क्लिक करें,0.0
"नई दिल्ली , जेएनएन ।",0.10682175159905853,0.10682175159905853,"नई दिल्ली , जेएनएन ।","New Delhi, JNN","नई दिल्ली, जेएनएन।",0.0
आइपीएल का 26 वां मैच दिल्ली डेयरडेविल्स और कोलकाता नाइट राइडर्स के बीच फिरोजशाह कोटला मैदान पर खेला गया ।,0.44476089284108944,0.06538279437554508,आइपीएल का 29वां मैच चेन्नई सुपर किंग्स और कोलकाता नाइट राइडर्स के बीच आइपीएल 2018 का 29वां मैच खेला गया ।,IPL's 26th match was played on the Feroz Shah Kotla ground between Delhi Daredevils and Kolkata Knight Riders.,आइपीएल का 26वां मुकाबला दिल्ली डेयरडेविल्स और कोलकाता नाइटराइडर्स के बीच फिरोजशाह कोटला मैदान पर खेला गया।,0.3793780984655444
नई बुलंदियों कप्तान की अगुवई में दिल्ली ने रबर त से सीरीज को तोड़ते हुए तोड़ दिया ।,0.11306082351602983,0.026643211213888955,मैच की दूसरी पारी में राजस्थान को पहला झटका पहले ओवर की आखिरी गेंद पर ही लग गया ।,"In the lead of the new Naval captain, Delhi defeated the series of bars, winning the break.",नए नवेले कप्तान की अगुवाई में दिल्ली ने बार के सिलसिले को तोड़ को हुए जीत दर्ज की।,0.08641761230214087
"दिल्ली की टीम ने कोलकाता को 55 रन से हराया , देखें",0.7102992180127422,0.03527502360630137,दिल्ली के गेंदबाजों पर जमकर बरसे,Delhi's team beat Kolkata by 55 runs,दिल्ली की टीम ने कोलकाता को 55 रन से मात दी।,0.6750241944064408
लेकिन दिल्ली की टीम की जीत भी थोड़ी ही लापरवाह हो गई क्योंकि एक गेंदबाज की वजह से उनके गेंदबाजों की वजह से लापरवाह हो गए ।,0.19230188007838597,0.09716915779575569,लेकिन अब रबादा के घायल होने से दिल्ली की टीम को तगड़ा झटका लगा है ।,But the victory of the Delhi team became a little bit faint because of one of his bowlers.,लेकिन दिल्ली की टीम की ये जीत उसके एक गेंदबाज़ की वजह से थोड़ी फीकी हो गई।,0.09513272228263028
,0.0,0.0,हैदराबाद ।,Rave,आवेश और मावी को पड़ी फटकार,0.0
इस मैच के बाद दिल्ली के गेंदबाज हरभजन सिंह और कोलकाता नाइट राइडर्स के गेंदबाज शिवम मावी को आइपीएल की आचार सहिता के उल्लंघन का दोषी पाया गया ।,0.4818168871787183,0.04017540429349265,दिल्ली के खिलाफ जीत के बाद विराट की टीम के 8 अंक हो गए हैं और वो अंक तालिका में तीसरे नंबर पर है ।,"After this match, Delhi's pace spearhead Harbhajan Singh and Kolkata Knight Riders bowler Shivam Mavi were found guilty of violating the IPL Code of Conduct.",इस मैच के बाद दिल्ली के तेज़ गेदबाज़ आवेश खान और कोलकाता नाइट राइडर्स के गेंदबाज़ी शिवम मावी को आइपीएल कोड ऑफ कंडक्ट के उल्लंघन का दोषी पाया गया।,0.44164148288522564
