bleu,x,y,z
0.4202844224346278,"टेस्ट मैच के कार्यक्रम में परिवर्तन का असर यह हुआ कि भारत को सीरीज का पहला मैच उस पिच पर खेलने को मिला, जिसे ऑस्ट्रेलिया में बल्लेबाजी के लिए सबसे अच्छी कहा जाता है।","The loss of change in the group Test match was that India had to play on the first match of the series , which is considered said for batting in Australia .","The impact of change in the Test match was that India got the first match of the series to play on that pitch, which is called best for batting in Australia."
0.49890948096767224,पहले दिन ही यह स्पष्ट हो गया था कि पिच में ज्यादा उछाल नहीं है और गेंद बल्ले पर अच्छी तरह आ रही है।,Qup first day was clear that in the pitch there was no bounce in the pitch and the ball is coming well on the bat .,It was clear on the first day that there is not much bounce in the pitch and the ball is coming well on the bat.
0.08040993409646842,"ऑस्ट्रेलिया की तरफ से तीन बल्लेबाजों ने शतक जड़े, खास बात यह है कि तीनों बल्लेबाज न्यू साउथ वेल्स से थे, जहां से फिलिप ह्यूज भी थे।","From the door , three batsmen made a century , where the three batsmen from New Zealand had scored a hundred from New Zealand wins .","Three batsmen scored centuries from Australia, the special thing is that the three batsmen were from New South Wales, from where Philip Hughes was also."
0.3708163623065084,"भारतीय बल्लेबाजों को जॉनसन, सिडल और हैरिस की खतरनाक तिकड़ी का सामना करना था।","2016 , Indian batsmen had to face the dangerous $ of Johnson , Bhuvaneshwar and Harmeet .","Indian batsmen had to face the dangerous trio of Johnson, Siddle and Harris."
0.15973577606156814,धवन की प्रतिक्रिया आक्रामक थी।,Bowling was aggressive .,Dhawan's reaction was offensive.
0.3791067002287393,ऐसा लगा कि वह इसी विपक्षी टीम के खिलाफ मोहाली में खेले अपने पदार्पण टेस्ट में लगाए गए सबसे तेज शतक को दोहराने की कोशिश कर रहे थे।,It seemed that he was trying to bring his debut in Mohali against the opposition team .,It seemed that he was trying to replicate the fastest century in his debut Test in Mohali against this opposition team.
0.2001670147593021,फर्क सिर्फ इतना था कि यहां गेंद मोहाली की तुलना में कुछ ज्यादा मूव कर रही थी और यही उनके आउट होने की वजह भी बनी।,A couple was so possible that the ball was going to be a bit more higher than Mohali and this was the reason for them .,"The only difference was that the ball here was moving more than Mohali, and this was the reason behind his dismissal."
0.40052744847255717,मुरली विजय ने प्रभावित करना जारी रखा और पुजारा भी एक अच्छी पारी खेलने में कामयाब रहे।,"Dilshan Vijay wrote , and Pujara also managed to play a good innings in a good innings .",Murali Vijay continued to impress and Pujara also managed to play a good innings.
0.363622704650007,कोहली की ही तरह पुजारा का भी इंग्लैंड दौरा किसी भुला देने वाले सपने से कम नहीं रहा था।,"Like Vizag , the England tour was not less than any preparations that .","Like Kohli, Pujara's England tour was not less than a forgotten dream."
0.06423094863383857,उनकी पारी से यह साफ हो गया कि बीच की अवधि में उन्होंने अपनी बल्लेबाजी पर कड़ी मेहनत की।,IND vs SA : This is clear that he has a lot of work on his batting .,His innings became clear that during the intervening period he worked hard on his batting.
0.2741229265391949,खेलते वक्त बल्ला उनके शरीर के बहुत करीब रह रहा था और जब भी फॉरवर्ड होकर खेल रहे थे तो उनके शरीर का झुकाव भी अधिक था।,"Obviously fits , with his bat , the bat was very close to his body , and when the strike were left .",The bat was very close to his body while playing and his bowel movement was also high when he was playing forward.
0.045037337510569944,शतक नहीं बना पाने से वह भी थोड़े निराश होंगे।,Not not let he will be disappointed a double century .,Being unable to score a century can also be a bit disappointing.
0.07756513313008309,पहली ही गेंद जोरदार तरीके से हेलमेट पर लगने के बाद भी कोहली नहीं घबराए और शानदार शतक जड़ा।,IND vs SA : Kohli did not make Kohli .,"Even after the first ball hit the helmet, Kohli did not panic and scored a glorious century."
0.28479942163807365,इसके साथ उन्होंने ऑस्ट्रेलियाई खेमे में यह संदेश भी भेज दिया कि भारतीय टीम अपने कदम पीछे नहीं करने वाली है।,There is also the lack of demand in the Australian team that the Indian team is not aware of its steps .,"With this, he also sent the message in the Australian camp that the Indian team is not going to step back."
