ay,bleu_ay,bleu_iy,iy,x,z,dblue
जेम्स एंडरसन ( 3 / 16 ) ने विलसन ( 11 ) को पविलियन भेजा ।,0.05816635421147516,0.07768562846380175,जेम्स एंडरसन ( 3 / 16 ) ने गुनातिलका को पवेलियन भेजा ।,James Anderson (3/16) sent Hino Kuhn (11) to the pavilion.,हीनो कुहन (11) को जेम्स एंडरसन (3/16) ने पवेलियन भेजा।,-0.019519274252326593
टोबी रोलैंड जोंस ( 1 / 52 ) ने इस जोड़ी को लंच से पहले ही अंतिम गेंद पर विकेट के पीछे लपकवाकर ( 12 ) लपका ।,0.12909944487358058,0.2121642520847466,अल्जारी जोसेफ ( 1 / 52 ) ने जॉन नरेन ( 12 ) को विकेट के पीछे लपकवाकर करियर की आखिरी गेंद पर विकेट के पीछे कैच करवाया ।,Toby Roland Jones (1/52) caught the temba Bavuma (12) behind the wicket by reviewing the last ball before lunch.,लंच से पहले की आखिरी गेंद पर टोबी रोलैंड जोंस (1/52) ने रिव्यू के जरिये टेंबा बावुमा (12) को विकेट के पीछे कैच कराया।,-0.08306480721116602
हाशिम अमला ( 83 ) और कप्तान फाफ डु प्लेसिस ( 61 ) चौथे विकेट के लिए 123 रन जोड़कर कुछ संघर्ष कर रहे हैं ।,0.3355751094991444,0.15980518115118314,हाशिम अमला ( 83 ) और कप्तान फाफ डु प्लेसिस ( 61 ) ने टिककर खेलते हुए चौथे विकेट के लिए 51 रन जोड़े ।,Hashim Amla (83) and captain Faf du Plessis (61) added some resistance after adding 123 runs for the fourth wicket.,इसके बाद हाशिम अमला (83) और कप्तान फाफ डुप्लेसिस (61) ने चौथे विकेट के लिए 123 रन जोड़कर कुछ प्रतिरोध दिखाया।,0.17576992834796124
"हालांकि , मोइन ने अमला रिव्यू पर एलबीडब्ल्यू आउट होने के बाद मामला तोड़ दिया ।",0.21305413619585087,0.13873271045271654,हालांकि इसके बाद मोइन ने अमला को भी एलबीडब्ल्यू आउट कर दिया ।,"However, Moin broke the deal after tea after LBW at the Amla Review Review.","लेकिन, मोइन ने चाय के बाद अमला को रिव्यू पर एलबीडब्ल्यू आउट कर यह साङोदारी तोड़ी।",0.07432142574313433
जल्द ही मोइन ने क्विंटन डिकॉक ( 01 ) और डायलॉग ( 00 ) को भी चलता किया ।,0.32594818888335836,0.32594818888335836,जल्द ही मोइन ने क्विंटन डिकॉक ( 01 ) और सेंहेरवाडकर ( 00 ) को भी चलता किया ।,Soon Moin also ran Quinton Dicock (01) and Theoinis Dibruyan (00).,जल्द ही मोइन ने क्विंटन डिकॉक (01) और थेउनिस डिब्रूएन (00) को भी चलता किया।,0.0
इसके बाद मोइन ने आखिरी दो विकेट लेकर दक्षिण अफ्रीका की पारी को संभाला ।,0.41913559432820047,0.47027963408204876,इसके बाद मोइन ने अंतिम दो विकेट लेकर पारी का अंत किया और दक्षिण अफ्रीका की पारी का अंत साउथी ने किया ।,After this Moin finished the innings with the last two wickets and South Africa's innings.,इसके बाद मोइन ने अंतिम दो विकेट और लेकर दक्षिण अफ्रीका की पारी का अंत किया।,-0.05114403975384829
क्रिकेट की खबरों के लिए यहां क्लिक,0.8668778997501817,0.8668778997501817,क्रिकेट की खबरों के लिए यहां क्लिक,Click here for cricket news,क्रिकेट की खबरों के लिए यहां क्लिक करें,0.0
अन्य खेलों की खबरों के लिए यहां क्लिक,0.8824969025845955,0.8824969025845955,अन्य खेलों की खबरों के लिए यहां क्लिक,Click here for news of other sports,अन्य खेलों की खबरों के लिए यहां क्लिक करें,0.0
केपटाउन ।,0.0,0.0,केपटाउन ।,Cape Town.,केप टाउन।,0.0
टी - 20 विश्व कप से पहले ऑस्ट्रेलियाई टीम ने शानदार शुरुआत की है ।,0.4001601601922499,0.4001601601922499,टी - 20 विश्व कप से पहले ऑस्ट्रेलियाई टीम ने शानदार शुरुआत बनाया है ।,"Before the T20 World Cup, the Australian team has made a great start.",टी20 विश्व कप से पहले ऑस्ट्रेलियाई टीम ने जबरदस्त हुंकार लगाई है।,0.0
