bleu,x,y,z
1.0,<UNK> the backfoot and does a,बैकफुट पर और रक्षा करता,बैकफुट पर और रक्षा करता
0.11731175160263997,"good length on middle , batsman <UNK> it back to the",अच्छी गेंद को छूने को छूने तरह से गेंद गेंद और,बल्लेबाज गेंद पर गेंद को अच्छी तरह से <UNK> कर देता
1.0,down the leg and wide,पैर और <UNK> नीचे दिए,पैर और <UNK> नीचे दिए
0.06959578721753987,"outside off , batsman <UNK> it down to <UNK> for a",आउट से चलने देर <UNK> आउट देता के लिए फील्ड स्थान की तरफ बढ़ जाता,बाहर से बल्लेबाज़ इसे रन आउट करने के लिए तीसरे खिलाड़ी की ओर ले जाता
0.7071067811865475,"good length on middle , batsman does a","मध्य गेंद अच्छी <UNK> , बल्लेबाज एक बचाव करता","मध्य पर अच्छी <UNK> , बल्लेबाज एक बचाव करता"
0.5,"good length ball outside off , batsman <UNK> it to cover","कोई रन नहीं , कुल स्कोर : <UNK> /",कोई रन नहीं । कुल स्कोर : <UNK> /
0.36088772259506874,<UNK> the backfoot and pushed to on - side for a,बैकफुट पर और एक <UNK> के लिए इसे से धकेल,बैकफुट पर और एक रन के लिए ओर से धकेल
0.3541698766144061,"full outside off , batsman drives it past <UNK> for a","पूरी तरह से बाहर , बल्लेबाज़ एक सीमा के लिए कवर कवर को","पूरी तरह से बाहर , बल्लेबाज एक जोड़ी के लिए पिछले कवर"
1.0,<UNK> the backfoot and does a,बैकफुट पर और रक्षा करता,बैकफुट पर और रक्षा करता
0.10927825053929674,<UNK> the backfoot and <UNK> it straight back towards the bowler and gets a run for <UNK> -,बैकफुट पर और रन को मिड <UNK> के ओर जाता और इसे जाता के लिए इंतजार बनाते देता,बैकफुट पर और गेंद को सीधे गेंदबाज की ओर ले जाता है और गलत फील्ड के लिए रन बना देता
0.5384952356064083,<UNK> the backfoot and pushed to cover,बैकफुट पर और <UNK> को कवर करने के लिए,बैकफुट पर और फील्डर को कवर करने के लिए धक्का
0.3655552228545123,<UNK> the backfoot and <UNK> it to mid -,बैकफुट पर और इसे मिड - बंद <UNK> करने,बैकफुट पर और इसे मध्य - पर <UNK> रखता
