bleu,x,y,z
0.07603985612048923,Trinamool also refused to comment on his resignation.,एंसेलोटी ने भी अपने इंस्टाग्राम अकाउंट पर ट्रोल किया ।,तृणमूल ने भी उनके इस्तीफे पर टिप्पणी करने से इन्कार कर दिया।
0.23713320246552005,Trinamool Secretary General and West Bengal Education Minister Partha Chatterjee said that I am not saying anything on this.,मबापे और पश्चिम बंगाल ने कहा कि मैं इस बारे में नहीं पूछा कि इस बारे में मुझे कुछ भी नहीं कह रहा । ',तृणमूल के महासचिव और पश्चिम बंगाल के शिक्षा मंत्री पार्थ चटर्जी ने कहा कि मैं इस पर कुछ नहीं कह रहा हूं।
0.3228213880040185,"In his two decade long football career, Bhutia captained the country's national team for 12 years.",सेबेस्टियन ने अपने दो मंजिला फुटबॉल करियर में करीब 12 साल के लिए देश की राष्ट्रीय टीम की कप्तानी की ।,अपने दो दशक लंबे फुटबॉल करियर में भूटिया ने 12 वर्षों तक देश की राष्ट्रीय टीम की कप्तानी की।
0.41113361690051975,Bhutia is India's star footballer.,ग्रासिया भारत के स्टार फुटबॉलर हैं ।,भूटिया भारत के स्टार फुटबॉलर रहे हैं।
0.2620251007173262,He retired from football in 2011.,2011 में उन्होंने फुटबॉल में फुटबॉल से संन्यास ले लिया था ।,उन्होंने 2011 में फुटबॉल से संन्यास लिया था।
0.46924700641055994,Bhutia has scored 40 goals in 104 international matches.,मैराथन भूटिया ने 51 अंतरराष्ट्रीय मैचों में 40 गोल किए हैं ।,भूटिया ने 104 अंतरराष्ट्रीय मैचों में 40 गोल किए हैं।
0.05862244939055159,"Here, sources say that he can join the BJP.",एंसेलोटी ने स्वीकार किया कि वह जुड़वा परीक्षण के साथ जुड़ेंगे । ',"इधर, सूत्रों के हवाले से खबर है कि वह भाजपा में शामिल हो सकते हैं।"
0.13545994273378142,The BJP had already sent this proposal.,एंसेलोटी ने पहले ही इस प्रस्ताव को नकार दिया था । ',भाजपा ने पहले ही यह प्रस्ताव भेजा था।
0.04657469807170698,"In Bhutia's home state of Sikkim, the BJP is running the government together with SDF.",भूटिया के हटने के बीच भूटिया के घरेलू शहर के घरेलू बाजार के साथ पीड़ित बच्चों को भी मिल रहा है । ',भूटिया के गृह राज्य सिक्किम में भाजपा एसडीएफ के साथ मिलकर सरकार चला रही है।
0.09895735996133519,"After leaving Bhutia's Trinamul, Union Minister Kiran Rijiju has said that Bhutia's Trinamool exit was anticipated and along with that he has also given best wishes to Bhutia's future prospects.",भूटिया के सीटी संभालने के बाद केंद्रीय बता रहे गांगुली ने कहा कि भूटिया के मूत्र का आग्रह कर रहे थे और इसके साथ ही वह भूटिया के भविष्य को लेकर भी शुभकामनाएं दिए गए हैं ।,भूटिया के तृणमूल छोडऩे के बाद केंद्रीय मंत्री किरण रिजिजू ने कहा है कि भूटिया का तृणमूल छोडऩा प्रत्याशित था इसके साथ ही उन्होंने भूटिया के भावी भविष्य के लिए शुभकामनाएं भी दी हैं।
0.8931539818068694,Bhutia said something became more defensive in Chennai FC,मैराथन भूटिया ने कहा कुछ ज्यादा रक्षात्मक हो गई चेन्नईयन एफसी,भूटिया ने कहा कुछ ज्यादा रक्षात्मक हो गई चेन्नईयन एफसी
0.0,Also read,स्लीपर तौर पर !,यह भी पढ़ें
1.0,Click here for cricket news,क्रिकेट की खबरों के लिए यहां क्लिक करें,क्रिकेट की खबरों के लिए यहां क्लिक करें
0.7506238537503395,Click here for sports news,खेल जगत की खबरों के लिए यहां क्लिक करें,खेल की खबरों के लिए यहां क्लिक करें
0.1235622127262679,Elbaert Roca's ability to become coach of Indian football team,भारतीय फुटबॉल टीम के कोच पद पर भड़के भारतीय फुटबॉल टीम के कोच,एल्बर्ट रोका में भारतीय फुटबॉल टीम का कोच बनने की योग्यता
0.0,Also read,स्लीपर तौर पर !,यह भी पढ़ें
0.2259005009024612,By Sanjay Savern,By Mohit Tanwar,By Sanjay Savern
0.0,"Johannesburg, AFP","ओस्लो , एएफपी ।","जोहांसबर्ग, एएफपी।"
0.5551953507751224,Senegal qualify for the World Cup by defeating South Africa 2-0 in the first round of the Football World Cup Playoffs in Polokwane.,मैराथन सेनेगल ने फुटबॉल विश्व कप के पहले चरण के मुकाबले में दक्षिण अफ्रीका को 2 - 0 से हराकर विश्व कप के लिए क्वालीफाई किया ।,सेनेगल ने पोलोकवाने में हुए फुटबॉल विश्व कप प्लेऑफ मुकाबले के पहले चरण के मुकाबले में दक्षिण अफ्रीका को 2-0 से हराकर विश्व कप के लिए क्वालीफाई किया।
0.3639723552007909,"At the same time, Sweden beat the four-time champion Italy 1-0 and made it difficult for them to qualify for the World Cup.","वहीं , स्वीडन ने चार बार की चैंपियन इटली को 1 - 0 से हराकर विश्व कप के लिए क्वालीफाई करने के लिए जगह बनाई । '","वहीं, स्वीडन ने चार बार की चैंपियन इटली को 1-0 से हराकर विश्व कप में क्वालीफाई करने की उनकी राह मुश्किल कर दी।"
0.3912360608928473,"For Sweden, substitute player Jakob Johansson scored in the 61st minute.",स्वीडन के लिए डिफेंडरों ने 61वें मिनट में गोल दागा ।,स्वीडन के लिए स्थानापन्न खिलाड़ी जैकब योहानसन ने 61वें मिनट में गोल किया।
0.16434245249247567,"In order to maintain the expectations of qualifying next year's World Cup, Italy will now have to beat Sweden in the second round of domestic competition.",16 साल के विश्व कप में दिखाई दे रही उम्मीदों के लिए इटली घरेलू दर्शकों के दूसरे राउंड में स्वीडन को हराना होगा । ',अगले साल होने वाले विश्व कप में क्वालीफाई करने की उम्मीदों को बरकरार रखने के लिए इटली को अब दूसरे चरण के घरेलू मुकाबले में स्वीडन को हराना होगा।
0.2732231510487644,If Italy fails to qualify for the World Cup then it will be for the second time in 60 years.,इटली ने इटली को हराकर विश्व कप के लिए क्वालीफाई करने के लिए लगातार दूसरी बार क्वालीफाई किया । ',इटली अगर विश्व कप के लिए क्वालीफाई करने में नाकाम रहती है तो 60 साल में ऐसा दूसरी बार होगा।
0.25336549464486463,"Earlier, in 1958 Italy had failed to qualify for the World Cup.",पहले 1958 में इटली को विश्व कप के लिए क्वालीफाई करने में नाकाम रही थी ।,इससे पहले 1958 में इटली विश्व कप में क्वालीफाई करने में असफल रही थी।
0.6142322395199378,"At the same time, Senegal, who played in the English Premier League, succeeded in defeating South Africa at the breathtaking game of Daphra Sakhoo and Saadio Mane.","वहीं , इंग्लिश प्रीमियर लीग में खेलने वाले सेनेगल को दक्षिण अफ्रीका के शानदार खेल के दम पर दक्षिण अफ्रीका को हराने में सफल हुई ।","वहीं, सेनेगल इंग्लिश प्रीमियर लीग में खेलने वाले दियाफ्रा साखू और सादियो माने के शानदार खेल के दम पर दक्षिण अफ्रीका को हराने में सफल हुआ।"
