bleu,x,y,z
0.0692945483088954,"Parthiv Patel , playing his first IPL match for Bangalore , scored a brilliant half - century to score 53 runs .",बैंगलोर की तरफ से पार्थिव पटेल ने भी अच्छी बल्लेबाजी की और 40 रन बनाकर नाबाद रहे जबकि साउथी एक रन बनाकर नाबाद रहे ।,बैंगलोर के लिए मौजूदा आइपीएल का पहला मैच खेल रहे पार्थिव पटेल ने शानदार अर्धशतक जमाते हुए 53 रन बनाए ।
0.161805547365076,In this innings Patel ' s bat yielded five boundaries and two sixes .,इस पारी में फनके बल्ले से 4 चौके और एक छक्का निकला ।,इस पारी में पटेल के बल्ले से पांच चौके और 2 छक्के निकले ।
1.0,Click here for IPL,IPL की खबरों के लिए यहां क्लिक,IPL की खबरों के लिए यहां क्लिक
1.0,Click here to view full schedule of,आइपीएल का पूरा शेड्यूल देखने के लिए यहां क्लिक,आइपीएल का पूरा शेड्यूल देखने के लिए यहां क्लिक
0.0,Giant returned in,खराब रही मुंबई की,सस्ते में लौटे
0.025642993454084828,"Any legendary batting batsman from Bangalore , who was battered with a bat , could not make a big score .",प्लेऑफ की उम्मीदों को जीवित रखने के लिए उसे जीत की राह पर वापसी करनी होगी ।,धुरंधर बल्लेबाज़ी से सजी बैंगलोर की टीम का कोई भी दिग्गज बल्लेबाज़ बड़ा स्कोर नहीं बना सका ।
0.028265205879007455,"McCullum scored 05 runs , Virat Kohli scored 08 and De Villiers scored 1 .",मैकुलम ने 25 गेंदों पर 43 रन बनाए इस दौरान उन्होंने 4 चौके और 4 छक्के लगाए ।,"मैक्कुलम 05 रन , विराट कोहली 08 रन और डिविलियर्स 01 रन बनाकर आउट हो गए ।"
1.0,Click here for cricket,क्रिकेट की खबरों के लिए यहां क्लिक,क्रिकेट की खबरों के लिए यहां क्लिक
1.0,Click here for news of other,अन्य खेलों की खबरों के लिए यहां क्लिक,अन्य खेलों की खबरों के लिए यहां क्लिक
1.0,"New Delhi ,","नई दिल्ली , जेएनएन ।","नई दिल्ली , जेएनएन ।"
0.11187338538742793,IPL ' s 26th match was played on the Feroz Shah Kotla ground between Delhi Daredevils and Kolkata Knight Riders .,आइपीएल का 29वां मैच चेन्नई सुपर किंग्स और कोलकाता नाइट राइडर्स के बीच आइपीएल 2018 का 29वां मैच खेला गया ।,आइपीएल का 26वां मुकाबला दिल्ली डेयरडेविल्स और कोलकाता नाइटराइडर्स के बीच फिरोजशाह कोटला मैदान पर खेला गया ।
0.030272532566104682,"In the lead of the new Naval captain , Delhi defeated the series of bars , winning the break .",मैच की दूसरी पारी में राजस्थान को पहला झटका पहले ओवर की आखिरी गेंद पर ही लग गया ।,नए नवेले कप्तान की अगुवाई में दिल्ली ने बार के सिलसिले को तोड़ को हुए जीत दर्ज की ।
0.029859662827819114,Delhi ' s team beat Kolkata by 55,दिल्ली के गेंदबाजों पर जमकर बरसे,दिल्ली की टीम ने कोलकाता को 55 रन से मात दी ।
0.09553892381700207,But the victory of the Delhi team became a little bit faint because of one of his bowlers .,लेकिन अब रबादा के घायल होने से दिल्ली की टीम को तगड़ा झटका लगा है ।,लेकिन दिल्ली की टीम की ये जीत उसके एक गेंदबाज़ की वजह से थोड़ी फीकी हो गई ।
0.0,,हैदराबाद ।,आवेश और मावी को पड़ी
0.04011669752759251,"After this match , Delhi ' s pace spearhead Harbhajan Singh and Kolkata Knight Riders bowler Shivam Mavi were found guilty of violating the IPL Code of Conduct .",दिल्ली के खिलाफ जीत के बाद विराट की टीम के 8 अंक हो गए हैं और वो अंक तालिका में तीसरे नंबर पर है ।,इस मैच के बाद दिल्ली के तेज़ गेदबाज़ आवेश खान और कोलकाता नाइट राइडर्स के गेंदबाज़ी शिवम मावी को आइपीएल कोड ऑफ कंडक्ट के उल्लंघन का दोषी पाया गया ।
0.026757454896417534,These players have been found guilty for two separate incidents during the match .,ये लोग गेंदबाजी और फील्डिंग में बदलाव कर कोहली को मैच जिताने में मदद करते हैं ।,मैच के दौरान हुई दो अलग - अलग घटनाओं के लिए इन खिलाड़ियों को दोषी पाया गया है ।
0.014468197684628198,"In a statement issued by the IPL , I said that Mavi and Prashur Khan have been found guilty of violating Level I of 2 . 1 . 7 of the IPL Code of Conduct for the players and the team .","तेज गेंदबाजी में शार्दुल ठाकुर , दीपक चहर और लुंगी नगिदी ने दो - दो जबकि अश्विन और अक्षर पटेल ने एक - एक विकेट लेकर पंजाब की टीम की कमर तोड़ दी ।","आइपीएल ने जारी अपने एक बयान में कहा कि , मावी और आवेश खान को खिलाड़ियों और टीम के लिए बने आइपीएल कोड ऑफ कंडक्ट के लेवल वन के 2 . 1 . 7 के उल्लंघन का दोषी पाया गया है ।"
0.049900497019368314,Both of them have accepted it .,ये दोनों आरसीबी की बल्लेबाजी की कमान संभालते हैं ।,दोनों ने इसे मान लिया है ।
0.025540496664715903,"BCCI ' s close look at these 23 players , including Prithvi Shaw and Shivam Mavi in the IPL",क्वालीफायर - 1 की विजेता टीम बनाम क्वालीफायर - 2 की विजेता टीम ( मैच मुंबई में ),IPL टूर्नामेंट में पृथ्वी शॉ और शिवम मावी समेत इन 23 खिलाड़ियों पर BCCI की करीबी
0.5946035575013605,Also,यह भी,यह भी
1.0,Click here for IPL,IPL की खबरों के लिए यहां क्लिक,IPL की खबरों के लिए यहां क्लिक
1.0,Click here to view full schedule of,आइपीएल का पूरा शेड्यूल देखने के लिए यहां क्लिक,आइपीएल का पूरा शेड्यूल देखने के लिए यहां क्लिक
